Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (512, 512)
可视化样本数: 432
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.6483
IoU: 0.4941
F1分数: 0.6483
精确率: 0.6284
召回率: 0.6798
==================================================

各样本详细指标:
--------------------------------------------------
样本 144: Dice=0.901, IoU=0.819, F1=0.901, Precision=0.876, Recall=0.927
样本 145: Dice=0.567, IoU=0.396, F1=0.567, Precision=0.507, Recall=0.643
样本 146: Dice=0.634, IoU=0.465, F1=0.634, Precision=0.615, Recall=0.656
样本 147: Dice=0.772, IoU=0.629, F1=0.772, Precision=0.689, Recall=0.878
样本 148: Dice=0.616, IoU=0.446, F1=0.616, Precision=0.564, Recall=0.680
样本 149: Dice=0.361, IoU=0.220, F1=0.361, Precision=0.350, Recall=0.373
样本 150: Dice=0.634, IoU=0.464, F1=0.634, Precision=0.553, Recall=0.743
样本 151: Dice=0.562, IoU=0.391, F1=0.562, Precision=0.474, Recall=0.691
样本 152: Dice=0.768, IoU=0.624, F1=0.768, Precision=0.716, Recall=0.830
样本 153: Dice=0.709, IoU=0.549, F1=0.709, Precision=0.643, Recall=0.790
样本 154: Dice=0.522, IoU=0.353, F1=0.522, Precision=0.552, Recall=0.494
样本 155: Dice=0.668, IoU=0.501, F1=0.668, Precision=0.597, Recall=0.757
样本 156: Dice=0.759, IoU=0.611, F1=0.759, Precision=0.749, Recall=0.769
样本 157: Dice=0.825, IoU=0.702, F1=0.825, Precision=0.752, Recall=0.914
样本 158: Dice=0.712, IoU=0.553, F1=0.712, Precision=0.657, Recall=0.779
样本 159: Dice=0.654, IoU=0.486, F1=0.654, Precision=0.709, Recall=0.607
样本 160: Dice=0.711, IoU=0.552, F1=0.711, Precision=0.666, Recall=0.764
样本 161: Dice=0.867, IoU=0.765, F1=0.867, Precision=0.829, Recall=0.909
样本 162: Dice=0.611, IoU=0.440, F1=0.611, Precision=0.707, Recall=0.539
样本 163: Dice=0.739, IoU=0.587, F1=0.739, Precision=0.705, Recall=0.777
样本 164: Dice=0.696, IoU=0.534, F1=0.696, Precision=0.627, Recall=0.783
样本 165: Dice=0.718, IoU=0.561, F1=0.718, Precision=0.641, Recall=0.817
样本 166: Dice=0.687, IoU=0.523, F1=0.687, Precision=0.725, Recall=0.653
样本 167: Dice=0.733, IoU=0.579, F1=0.733, Precision=0.696, Recall=0.775
样本 168: Dice=0.230, IoU=0.130, F1=0.230, Precision=0.158, Recall=0.424
